driverId,week,hours-logged,miles-logged
960,50,75,1700
178,27,54,800
999,50,65,3900
20,36,69,2300
129,35,75,1900
231,42,67,700
682,19,57,3000
412,49,64,3300
341,4,55,2300
896,47,62,1400
457,13,60,2800
105,28,75,2800
746,20,66,1200
500,16,77,3200
297,44,62,2400
69,12,57,4000
308,26,55,800
183,26,62,700
565,7,50,0
946,7,63,700
773,18,62,3900
84,41,62,3500
229,16,62,1400
124,42,75,3500
265,32,78,3900
918,47,67,0
676,37,71,3600
704,42,52,100
295,41,55,1800
192,43,71,1400
631,4,66,2000
43,21,64,3700
722,7,66,3700
57,13,55,3100
541,39,54,3500
703,41,51,2000
573,7,73,3800
824,11,71,3400
336,47,74,1200
74,4,71,3100
422,36,75,2500
204,52,56,3100
809,5,61,1800
753,28,77,700
801,21,53,2400
473,39,59,800
766,39,54,1300
143,52,65,400
147,12,75,3300
762,18,63,400
920,21,79,3200
719,46,78,3800
828,44,77,3800
649,20,59,1200
600,16,59,1000
508,3,69,1500
183,32,63,100
995,8,62,2600
993,18,68,1400
857,34,77,100
108,14,62,100
220,51,67,1500
733,50,60,3500
454,34,50,500
340,43,70,4000
667,49,71,2400
528,45,67,3400
14,18,68,1300
663,38,73,3600
713,15,55,900
905,3,60,2300
334,27,66,500
332,40,55,600
403,25,70,1500
229,24,57,1300
784,1,53,1800
496,3,61,200
449,47,74,1900
454,23,63,1600
806,2,63,1100
569,3,55,0
406,9,73,0
699,5,80,3200
821,26,60,2100
934,52,60,2100
308,40,63,2300
396,24,55,800
866,33,51,700
216,16,58,3600
72,36,56,3100
488,46,57,3300
413,24,78,1400
436,31,66,2000
671,25,72,1900
311,23,56,800
792,31,61,3900
916,44,70,200
291,8,60,2200
517,52,73,1000
118,9,80,700
851,33,77,3900
911,32,70,2400
845,48,70,1000
309,49,74,1900
108,32,75,2200
226,29,51,3200
301,46,77,2800
606,8,80,2300
112,52,57,3100
858,42,75,1700
778,27,75,200
556,13,75,3700
70,32,59,3900
236,20,56,3500
996,43,62,2400
639,16,62,100
764,14,80,0
502,32,54,0
725,19,76,1300
943,41,77,3100
840,1,68,3700
839,46,60,2100
805,25,77,3200
315,52,72,3300
678,3,62,2800
276,2,52,1700
896,4,61,2200
346,35,51,2900
511,45,77,1400
808,1,52,2200
303,46,73,3900
731,14,69,4000
720,48,56,3800
317,44,53,3200
478,8,55,900
668,39,52,500
693,32,62,0
240,26,51,2800
484,10,50,3800
721,4,73,3200
491,39,72,3300
270,10,78,100
577,14,69,3700
689,2,68,100
203,46,55,200
161,43,65,1400
780,26,59,100
266,6,51,2200
610,47,71,1400
46,1,66,2400
910,38,68,3100
216,25,54,200
543,35,80,100
489,10,59,3600
334,34,69,3300
1009,19,63,800
863,10,64,3000
347,15,61,3600
21,48,66,1400
